state,action,action_name,policy_prob,empirical_prob,abs_diff
63,3,Right,0.11809393730177072,0.1156,0.002493937301770721
64,0,Up,0.6988519876163362,0.6991,0.0002480123836638981
64,1,Down,0.12396048507426909,0.1246,0.0006395149257309163
64,2,Left,0.16186997726758753,0.1623,0.00043002273241246614
64,3,Right,0.015317550041807163,0.014,0.0013175500418071626
65,0,Up,0.45732594226529416,0.4622,0.004874057734705839
65,1,Down,0.10057603049357344,0.0956,0.004976030493573438
65,2,Left,0.19609092358520774,0.1912,0.004890923585207735
65,3,Right,0.24600710365592457,0.251,0.0049928963440754315
66,0,Up,0.049134554518775755,0.0499,0.0007654454812242445
66,1,Down,0.8014929159032681,0.7999,0.001592915903268044
66,2,Left,0.14937252957795621,0.1502,0.0008274704220437856
66,3,Right,0.0,0.0,0.0
67,0,Up,1.0,1.0,0.0
67,1,Down,0.0,0.0,0.0
67,2,Left,0.0,0.0,0.0
67,3,Right,0.0,0.0,0.0
68,0,Up,0.31567862026206184,0.3174,0.0017213797379381779
68,1,Down,0.017622946791203714,0.0163,0.0013229467912037156
68,2,Left,0.0,0.0,0.0
68,3,Right,0.6666984329467345,0.6663,0.0003984329467344727
69,0,Up,0.019748915634273348,0.0185,0.0012489156342733489
69,1,Down,0.2571534901920186,0.2607,0.0035465098079813795
69,2,Left,0.01337495788463971,0.0116,0.001774957884639711
69,3,Right,0.7097226362890683,0.7092,0.0005226362890682346
70,0,Up,1.0,1.0,0.0
70,1,Down,0.0,0.0,0.0
70,2,Left,0.0,0.0,0.0
70,3,Right,0.0,0.0,0.0
71,0,Up,0.7440016426796404,0.7498,0.005798357320359604
71,1,Down,0.0,0.0,0.0
71,2,Left,0.0,0.0,0.0
71,3,Right,0.2559983573203595,0.2502,0.005798357320359548
72,0,Up,0.07657867926310973,0.0756,0.0009786792631097246
72,1,Down,0.4636217038466873,0.4615,0.002121703846687306
72,2,Left,0.06637425729004098,0.0635,0.0028742572900409824
72,3,Right,0.39342535960016184,0.3994,0.005974640399838138
73,0,Up,0.28030544363375937,0.2827,0.002394556366240641
73,1,Down,0.13063044747406652,0.128,0.0026304474740665162
73,2,Left,0.2594398951872604,0.2575,0.0019398951872603987
73,3,Right,0.32962421370491385,0.3318,0.002175786295086135
74,0,Up,0.19554949064715302,0.1996,0.0040505093528469815
74,1,Down,0.35282664800376595,0.3477,0.005126648003765943
74,2,Left,0.35674693015414677,0.3593,0.0025530698458532397
